city,naics,mean_eci_zscore,clean_city_name,country
brasilia,Retail,0.5652902573931078,Brasilia,BR
belo_horizonte,Transportation,0.5644715112090394,Belo Horizonte,BR
salvador,Construction,0.5611835836468502,Salvador,BR
sao_paulo,Retail,0.5585235885866467,Sao Paulo,BR
brasilia,Construction,0.5538192769725002,Brasilia,BR
sao_paulo,Energy,0.5488491010679858,Sao Paulo,BR
brasilia,Education,0.5478802579300215,Brasilia,BR
sao_paulo,Manufacturing,0.5467971412817966,Sao Paulo,BR
brasilia,Hospitality,0.5309994128820963,Brasilia,BR
belo_horizonte,Retail,0.5293827827371221,Belo Horizonte,BR
rio_de_janeiro,Transportation,0.5172610662374979,Rio De Janeiro,BR
brasilia,Manufacturing,0.5102772410132024,Brasilia,BR
brasilia,Transportation,0.5093678178267067,Brasilia,BR
salvador,Transportation,0.501509356416711,Salvador,BR
rio_de_janeiro,Corporate,0.4950368804949116,Rio De Janeiro,BR
fortaleza,Health,0.4930233712506762,Fortaleza,BR
sao_paulo,Agriculture,0.4844694230356484,Sao Paulo,BR
fortaleza,Business Support,0.4793032528882431,Fortaleza,BR
sao_paulo,Transportation,0.4717232693960115,Sao Paulo,BR
belo_horizonte,Hospitality,0.4664110399262485,Belo Horizonte,BR
belo_horizonte,Corporate,0.4573833832607287,Belo Horizonte,BR
fortaleza,Real Estate,0.4509076573559938,Fortaleza,BR
fortaleza,Public Administration,0.4475560110169818,Fortaleza,BR
fortaleza,Financial,0.4342507587022883,Fortaleza,BR
brasilia,Energy,0.4176453224308075,Brasilia,BR
rio_de_janeiro,Manufacturing,0.4042710453684353,Rio De Janeiro,BR
fortaleza,Corporate,0.3822584104162158,Fortaleza,BR
fortaleza,Construction,0.3625760054440281,Fortaleza,BR
brasilia,Corporate,0.3602457685917634,Brasilia,BR
fortaleza,Information,0.3600440569334074,Fortaleza,BR
fortaleza,Wholesale,0.3580134656153279,Fortaleza,BR
salvador,Agriculture,0.3342202592463936,Salvador,BR
salvador,Manufacturing,0.3282279261079917,Salvador,BR
fortaleza,Professional Service,0.3255937264599056,Fortaleza,BR
fortaleza,Retail,0.2516935728176651,Fortaleza,BR
belo_horizonte,Manufacturing,0.242740298500596,Belo Horizonte,BR
fortaleza,Art/Culture,0.2401744458358806,Fortaleza,BR
rio_de_janeiro,Energy,0.2357668694661904,Rio De Janeiro,BR
fortaleza,Transportation,0.2297457892204786,Fortaleza,BR
belo_horizonte,Public Administration,0.2259561202967346,Belo Horizonte,BR
belo_horizonte,Energy,0.2143063233810746,Belo Horizonte,BR
salvador,Energy,0.1996275201422787,Salvador,BR
salvador,Hospitality,0.1722958367659768,Salvador,BR
fortaleza,Hospitality,0.1487408810230757,Fortaleza,BR
fortaleza,Manufacturing,0.1177301698460723,Fortaleza,BR
salvador,Public Administration,0.1142542549100393,Salvador,BR
belo_horizonte,Agriculture,0.0845928371735541,Belo Horizonte,BR
fortaleza,Energy,0.0302219859515158,Fortaleza,BR
fortaleza,Agriculture,-0.188875537680922,Fortaleza,BR
cordoba,Public Administration,2.3900750338762267,Cordoba,AR
cordoba,Corporate,2.167460488381647,Cordoba,AR
cordoba,Real Estate,2.1238856048704404,Cordoba,AR
cordoba,Financial,2.1060520635595377,Cordoba,AR
cordoba,Professional Service,1.912458818695561,Cordoba,AR
